Age,Education,Marital Status,Parental Status,Children,Income,Total_Spending,Days_as_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total Promo,NumWebVisitsMonth,cluster
65,2,0,0,0,58138.0,1617.0,4813.0,58,635,81,546,120.5,81,88.0,8,10,4,3,0,7,2
68,2,0,1,2,46344.0,27.0,4263.0,38,11,1,6,2.0,1,6.0,1,1,2,2,0,5,0
57,2,1,0,0,71613.0,776.0,4462.0,26,426,49,127,111.0,21,42.0,8,2,10,1,0,4,2
38,2,1,1,1,26646.0,53.0,4289.0,26,11,4,20,10.0,3,5.0,2,0,4,2,0,6,0
41,4,1,1,1,58293.0,422.0,4311.0,94,173,43,118,46.0,27,15.0,5,3,6,5,0,5,1
55,3,1,1,1,62513.0,716.0,4443.0,16,520,42,98,0.0,42,14.0,6,4,10,2,0,6,1
51,2,0,1,1,55635.0,590.0,4743.0,34,235,65,164,50.0,49,27.0,7,3,7,4,0,6,1
37,4,1,1,1,33454.0,169.0,4567.0,32,76,10,56,3.0,1,23.0,4,0,4,2,0,8,0
48,4,1,1,1,30351.0,46.0,4538.0,19,14,0,24,3.0,3,2.0,3,0,2,1,0,9,0
72,4,1,1,2,5648.0,49.0,4258.0,68,28,0,6,1.0,1,13.0,1,0,0,1,1,20,0
39,2,1,1,1,51381.5,19.0,4376.0,11,5,5,6,0.0,2,1.0,1,0,2,1,0,7,0
46,0,1,0,0,7500.0,61.0,4743.0,59,6,16,11,11.0,1,16.0,2,0,3,1,0,8,0
63,2,0,0,0,63033.0,1102.0,4376.0,82,194,61,480,120.5,81,30.0,3,4,8,1,0,2,2
70,3,0,1,2,59354.0,310.0,4376.0,53,233,2,53,3.0,5,14.0,6,1,5,3,0,6,1
35,2,1,0,0,17323.0,46.0,4777.0,38,3,14,17,6.0,1,5.0,1,0,3,1,0,8,0
76,4,0,0,0,82800.0,1315.0,4732.0,23,1006,22,115,59.0,68,45.0,7,6,12,1,2,3,2
42,2,1,1,2,41850.0,96.0,4702.0,51,53,5,19,2.0,13,4.0,3,0,3,3,0,8,0
76,2,1,0,0,37760.0,317.0,4817.0,20,84,5,38,120.5,12,28.0,4,1,6,2,0,7,1
73,3,1,1,1,76995.0,1782.0,4608.0,91,1012,80,498,0.0,16,126.5,11,4,9,2,1,5,1
